Pressure,Temperature,Phase,Author,Method
40,6200,Liquid,Du (2014),static
3,3200,B1,Du (2014),static
11,3450,B1,Du (2014),static
27,4400,B1,Du (2014),static
40,5400,B1,Du (2014),static
19.8,1477,B1,Ye (2017),static
24.2,1529,B1,Ye (2017),static
19.6,1594,B1,Ye (2017),static
22.7,1684,B1,Ye (2017),static
24.9,1645,B1,Ye (2017),static
26,1574,B1,Ye (2017),static
27.6,1606,B1,Ye (2017),static
28.2,1710,B1,Ye (2017),static
25.8,1723,B1,Ye (2017),static
27.1,1658,B1,Ye (2017),static
27.6,1671,B1,Ye (2017),static
27.1,1690,B1,Ye (2017),static
25.8,1703,B1,Ye (2017),static
27.3,1761,B1,Ye (2017),static
28.7,1658,B1,Ye (2017),static
26,1645,B1,Ye (2017),static
26.7,1710,B1,Ye (2017),static
19.6,1813,B1,Ye (2017),static
19.3,1826,B1,Ye (2017),static
20.4,1781,B1,Ye (2017),static
20.7,1774,B1,Ye (2017),static
24.7,1826,B1,Ye (2017),static
22,1794,B1,Ye (2017),static
22.9,1884,B1,Ye (2017),static
23.3,1852,B1,Ye (2017),static
24.2,1871,B1,Ye (2017),static
22.7,1871,B1,Ye (2017),static
28.7,1819,B1,Ye (2017),static
26.2,1858,B1,Ye (2017),static
30,1877,B1,Ye (2017),static
28.7,1865,B1,Ye (2017),static
29.3,1923,B1,Ye (2017),static
29.1,1935,B1,Ye (2017),static
24.4,1987,B1,Ye (2017),static
26.4,1968,B1,Ye (2017),static
22.9,2019,B1,Ye (2017),static
20,2077,B1,Ye (2017),static
19.8,2045,B1,Ye (2017),static
19.8,2032,B1,Ye (2017),static
19.8,2019,B1,Ye (2017),static
22.9,2084,B1,Ye (2017),static
22.2,2123,B1,Ye (2017),static
24.2,2077,B1,Ye (2017),static
21.6,1968,B1,Ye (2017),static
22.2,2013,B1,Ye (2017),static
35.1,2303,B1,Ye (2017),static
33.3,2039,B1,Ye (2017),static
32.9,1923,B1,Ye (2017),static
32.4,1871,B1,Ye (2017),static
32,1768,B1,Ye (2017),static
34.4,1761,B1,Ye (2017),static
32.2,1761,B1,Ye (2017),static
31.6,1594,B1,Ye (2017),static
32.7,1632,B1,Ye (2017),static
34.7,1652,B1,Ye (2017),static
36,1639,B1,Ye (2017),static
34.2,1606,B1,Ye (2017),static
33.8,1529,B1,Ye (2017),static
34.2,1523,B1,Ye (2017),static
35.8,1497,B1,Ye (2017),static
33.1,1465,B1,Ye (2017),static
38.4,1587,B1,Ye (2017),static
38.4,1568,B1,Ye (2017),static
39.8,1639,B1,Ye (2017),static
40,1735,B1,Ye (2017),static
39.1,1684,B1,Ye (2017),static
37.8,1735,B1,Ye (2017),static
38,1819,B1,Ye (2017),static
37.8,1910,B1,Ye (2017),static
40.4,1981,B1,Ye (2017),static
35.3,1806,B1,Ye (2017),static
41.8,2097,B1,Ye (2017),static
41.8,2058,B1,Ye (2017),static
17.3,300,B1,Ye (2017),static
18.7,300,B1,Ye (2017),static
19.1,300,B1,Ye (2017),static
20.4,300,B1,Ye (2017),static
20.9,300,B1,Ye (2017),static
22.7,300,B1,Ye (2017),static
22.9,300,B1,Ye (2017),static
23.1,300,B1,Ye (2017),static
23.6,300,B1,Ye (2017),static
24,300,B1,Ye (2017),static
24.4,300,B1,Ye (2017),static
25.3,300,B1,Ye (2017),static
28.9,300,B1,Ye (2017),static
30.7,300,B1,Ye (2017),static
37.1,300,B1,Ye (2017),static
40.9,300,B1,Ye (2017),static
41.8,300,B1,Ye (2017),static
45.1,300,B1,Ye (2017),static
43.1,300,B1,Ye (2017),static
43.8,300,B1,Ye (2017),static
42.7,300,B1,Ye (2017),static
48.7,300,B1,Ye (2017),static
49.8,300,B1,Ye (2017),static
52.9,300,B1,Ye (2017),static
52.2,300,B1,Ye (2017),static
55.1,300,B1,Ye (2017),static
56.4,300,B1,Ye (2017),static
58.7,300,B1,Ye (2017),static
60,300,B1,Ye (2017),static
63.6,300,B1,Ye (2017),static
