Pressure,Temperature,Phase,Author,Method
132.1,1402,Seifertite,Sun (2019),static
132.1,1339,Seifertite,Sun (2019),static
134.1,1339,Seifertite,Sun (2019),static
135.1,1307,Seifertite,Sun (2019),static
137.1,1803,Seifertite,Sun (2019),static
133.3,2024,Seifertite,Sun (2019),static
134.3,2157,Seifertite,Sun (2019),static
140.1,1906,Seifertite,Sun (2019),static
140.1,2008,Seifertite,Sun (2019),static
140.1,2252,Seifertite,Sun (2019),static
139.1,2354,Seifertite,Sun (2019),static
144,2283,Seifertite,Sun (2019),static
141.5,2370,Seifertite,Sun (2019),static
141.9,2472,Seifertite,Sun (2019),static
141.1,2543,Seifertite,Sun (2019),static
142.1,2575,Seifertite,Sun (2019),static
143,2701,Seifertite,Sun (2019),static
141.1,2732,Seifertite,Sun (2019),static
142.1,2874,Seifertite,Sun (2019),static
108.1,2197,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
110,2331,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
111,2472,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
112,2402,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
112,2346,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
113.1,2339,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
113.1,2291,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
110.1,2000,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
114.1,2142,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
115.1,2394,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
117.1,2638,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
117.1,2449,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
112,2740,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
113.1,3008,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
117.1,3008,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
112,3244,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
113.1,3409,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
114.1,3606,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
120,2496,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
119.6,2402,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
124.1,2134,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
125,2252,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
125.2,2354,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
137,3299,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
134.1,3008,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
137,2906,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
134.9,2874,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
137,2811,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
135.2,2811,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
135,2701,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
136.7,2654,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
134,2504,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
129.3,2803,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
