P (GPa),T (K),Phase,Author,
123.5,300,Post-perovskite,Guignot2007,
123.8,300,Post-perovskite,Guignot2007,
124,300,Post-perovskite,Guignot2007,
127.5,300,Post-perovskite,Guignot2007,
129.5,300,Post-perovskite,Guignot2007,
129.5,300,Post-perovskite,Guignot2007,
128.6,300,Post-perovskite,Guignot2007,
129.1,300,Post-perovskite,Guignot2007,
129.4,300,Post-perovskite,Guignot2007,
131.4,300,Post-perovskite,Guignot2007,
131.6,300,Post-perovskite,Guignot2007,
132,300,Post-perovskite,Guignot2007,
132.4,300,Post-perovskite,Guignot2007,
132.4,300,Post-perovskite,Guignot2007,
121.2,1435,Post-perovskite,Guignot2007,
121.4,1556,Post-perovskite,Guignot2007,
124.5,1511,Post-perovskite,Guignot2007,
130,1569,Post-perovskite,Guignot2007,
135.8,1468,Post-perovskite,Guignot2007,
134.7,1508,Post-perovskite,Guignot2007,
137.5,1496,Post-perovskite,Guignot2007,
122.5,1663,Post-perovskite,Guignot2007,
124,1872,Post-perovskite,Guignot2007,
125.2,1857,Post-perovskite,Guignot2007,
125.9,2015,Post-perovskite,Guignot2007,
127.8,2040,Post-perovskite,Guignot2007,
134,2059,Post-perovskite,Guignot2007,
134.3,1973,Post-perovskite,Guignot2007,
139.1,1984,Post-perovskite,Guignot2007,
141.1,2023,Post-perovskite,Guignot2007,
134,2134,Post-perovskite,Guignot2007,
137.2,2082,Post-perovskite,Guignot2007,
143.7,2438,Post-perovskite,Guignot2007,
128.7,2455,Post-perovskite,Guignot2007,
130.2,2511,Post-perovskite,Guignot2007,
137.3,2535,Post-perovskite,Guignot2007,
140.4,2500,Post-perovskite,Guignot2007,
144.5,2520,Post-perovskite,Guignot2007,
30.07,1300,Bridgmanite,Tateno2012,
29.91,1100,Bridgmanite,Tateno2012,
29.41,900,Bridgmanite,Tateno2012,
28.78,700,Bridgmanite,Tateno2012,
28.52,500,Bridgmanite,Tateno2012,
27.85,300,Bridgmanite,Tateno2012,
42.29,1500,Bridgmanite,Tateno2012,
41.69,1300,Bridgmanite,Tateno2012,
40.98,1100,Bridgmanite,Tateno2012,
40.7,900,Bridgmanite,Tateno2012,
40.09,700,Bridgmanite,Tateno2012,
39.49,500,Bridgmanite,Tateno2012,
38.91,300,Bridgmanite,Tateno2012,
51.73,1500,Bridgmanite,Tateno2012,
51.23,1300,Bridgmanite,Tateno2012,
50.73,1100,Bridgmanite,Tateno2012,
50.28,900,Bridgmanite,Tateno2012,
49.9,700,Bridgmanite,Tateno2012,
49.2,500,Bridgmanite,Tateno2012,
48.62,300,Bridgmanite,Tateno2012,
61.61,1500,Bridgmanite,Tateno2012,
62.1,1300,Bridgmanite,Tateno2012,
62,1100,Bridgmanite,Tateno2012,
61.6,900,Bridgmanite,Tateno2012,
61.4,700,Bridgmanite,Tateno2012,
60.8,500,Bridgmanite,Tateno2012,
60.6,300,Bridgmanite,Tateno2012,
59.4,1500,Bridgmanite,Tateno2012,
53.7,300,Bridgmanite,Tateno2012,
60,1980,Bridgmanite,Tateno2012,
51.7,300,Bridgmanite,Tateno2012,
68.4,1500,Bridgmanite,Tateno2012,
60.65,300,Bridgmanite,Tateno2012,
93.4,1500,Bridgmanite,Tateno2012,
85.5,1900,Bridgmanite,Tateno2012,
83.5,1500,Bridgmanite,Tateno2012,
76.37,300,Bridgmanite,Tateno2012,
108.3,1870,Bridgmanite,Tateno2012,
106.1,1550,Bridgmanite,Tateno2012,
98.57,300,Bridgmanite,Tateno2012,
103.4,2430,Bridgmanite,Tateno2012,
89.4,300,Bridgmanite,Tateno2012,
0.54,1873,Protoenstatite,Boyd1964,
0.54,1898,Liquid,Boyd1964,
0.61,1823,Protoenstatite,Boyd1964,
0.72,1898,Liquid,Boyd1964,
0.74,1823,Liquid,Boyd1964,
0.83,1823,Liquid,Boyd1964,
0.83,1913,Liquid,Boyd1964,
0.83,1938,Liquid,Boyd1964,
0.93,1913,Orthoenstatite,Boyd1964,
1.08,1923,Orthoenstatite,Boyd1964,
1.11,1948,Orthoenstatite,Boyd1964,
1.11,1973,Liquid,Boyd1964,
1.26,1958,Orthoenstatite,Boyd1964,
1.26,1983,Liquid,Boyd1964,
1.44,1998,Liquid,Boyd1964,
1.45,1998,Liquid,Boyd1964,
1.47,1973,Orthoenstatite,Boyd1964,
1.79,1998,Orthoenstatite,Boyd1964,
1.79,2023,Liquid,Boyd1964,
2.51,2073,Liquid,Boyd1964,
2.51,2098,Liquid,Boyd1964,
3.23,2123,Orthoenstatite,Boyd1964,
3.23,2148,Liquid,Boyd1964,
3.95,2148,Orthoenstatite,Boyd1964,
3.95,2173,Liquid,Boyd1964,
4.56,2223,Liquid,Boyd1964,
4.67,2223,Liquid,Boyd1964,
40,3950,Bridgmanite,Deng2023,MLMD
75,4950,Bridgmanite,Deng2023,MLMD
120,5700,Bridgmanite,Deng2023,MLMD
180,6400,Post-perovskite,Deng2023,MLMD
200,6700,Post-perovskite,Deng2023,MLMD
40,4050,Liquid,Deng2023,MLMD
75,5050,Liquid,Deng2023,MLMD
120,5800,Liquid,Deng2023,MLMD
180,6500,Liquid,Deng2023,MLMD
200,6800,Liquid,Deng2023,MLMD
21,2123,Akimotoite,Ito1992,
21,2223,Majorite,Ito1992,
21,2703,Liquid,Ito1992,
22,2203,Bridgmanite,Ito1992,
22,2673,Bridgmanite,Ito1992,
22,2773,Liquid,Ito1992,
23,2673,Bridgmanite,Ito1992,
23,2773,Bridgmanite,Ito1992,
23,2873,Liquid,Ito1992,
23,2923,Liquid,Ito1992,
24,2703,Bridgmanite,Ito1992,
24,2773,Bridgmanite,Ito1992,
24,2873,Liquid,Ito1992,
25,2723,Bridgmanite,Ito1992,
25,2803,Bridgmanite,Ito1992,
25,2873,Liquid,Ito1992,
23,2773,Liquid,Ito1992,
10,2423,Orthoenstatite,Presnall1990,
10,2443,Liquid,Presnall1990,
11.1,2413,Orthoenstatite,Presnall1990,
12.1,2413,Clinoenstatite,Presnall1990,
12.1,2503,Clinoenstatite,Presnall1990,
12.1,2533,Liquid,Presnall1990,
13.3,2523,Clinoenstatite,Presnall1990,
13.3,2563,Liquid,Presnall1990,
16,2613,Clinoenstatite,Presnall1990,
16,2643,Liquid,Presnall1990,
16.5,2643,Liquid,Presnall1990,
16.5,2623,Majorite,Presnall1990,
16,2423,Clinoenstatite,Presnall1990,
17,2423,Majorite,Presnall1990,
86.21072455,2500,Bridgmanite,Oganov2004,
95.9101772,2360.640301,Bridgmanite,Oganov2004,
96.20499774,2402.071563,Bridgmanite,Oganov2004,
87.48229645,2243.879473,Bridgmanite,Oganov2004,
93.48828757,1946.327684,Bridgmanite,Oganov2004,
96.07372166,2157.250471,Bridgmanite,Oganov2004,
100.158919,2014.124294,Bridgmanite,Oganov2004,
98.91851411,1803.201507,Bridgmanite,Oganov2004,
105.2523651,2112.052731,Bridgmanite,Oganov2004,
106.4978359,2409.60452,Bridgmanite,Oganov2004,
80.70197465,300,Bridgmanite,Oganov2004,
81.8128655,300,Bridgmanite,Oganov2004,
82.63157895,300,Bridgmanite,Oganov2004,
83.39181287,300,Bridgmanite,Oganov2004,
89.00584795,300,Bridgmanite,Oganov2004,
94.09378751,300,Bridgmanite,Oganov2004,
95.67251462,300,Bridgmanite,Oganov2004,
118.0116959,300,Post-perovskite,Oganov2004,
126.7309831,1396.421846,Post-perovskite,Oganov2004,
128.4392242,1607.344633,Post-perovskite,Oganov2004,
128.0971575,1758.003766,Post-perovskite,Oganov2004,
127.985705,1852.165725,Post-perovskite,Oganov2004,
6.75,2320,Liquid,Shen1995,
9.32,2450,Liquid,Shen1995,
26,3020,Liquid,Shen1995,
30.5,3420,Liquid,Shen1995,
33.5,3680,Liquid,Shen1995,
40,4000,Liquid,Shen1995,
42,4050,Liquid,Shen1995,
6.75,2220,Orthoenstatite,Shen1995,
9.32,2360,Orthoenstatite,Shen1995,
26,2900,Bridgmanite,Shen1995,
30.5,3170,Bridgmanite,Shen1995,
33.5,3500,Bridgmanite,Shen1995,
40,3700,Bridgmanite,Shen1995,
42,3750,Bridgmanite,Shen1995,
