Pressure,Temperature,Phase,Author,Starting material,Heating time,Pressure scale,EoS,Pressure medium,Notes,,,,,,,,,
23.15,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
24.99,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
27.16,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
30.45,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
31.02,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
33.27,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
35.7,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
38.05,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
40.39,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
42.89,298,Stishovite,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
45.27,298,Mix (Stishovite + CaCl2-like),Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
47.59,298,Mix (Stishovite + CaCl2-like),Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
49.87,298,Mix (Stishovite + CaCl2-like),Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
52.16,298,CaCl2-like,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
54.38,298,CaCl2-like,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
56.4,298,CaCl2-like,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
58.51,298,CaCl2-like,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
62.63,298,CaCl2-like,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
64.64,298,CaCl2-like,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
66.59,298,CaCl2-like,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
66.96,298,CaCl2-like,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
70.99,298,CaCl2-like,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
72.89,298,CaCl2-like,Buchen (2018),Sintered polycrystalline stishovite,N/A,Ruby,Dewaele (2008),Ne,,,,,,,,,,
1.168,298,Stishovite,Andrault (2003),Stishovite synthesized crystal,N/A,Quartz (single crystal),Angel (1997),NaCl,,,,,,,,,,
2.299,298,Stishovite,Andrault (2003),Stishovite synthesized crystal,N/A,Quartz (single crystal),Angel (1997),NaCl,,,,,,,,,,
3.137,298,Stishovite,Andrault (2003),Stishovite synthesized crystal,N/A,Quartz (single crystal),Angel (1997),NaCl,,,,,,,,,,
4.252,298,Stishovite,Andrault (2003),Stishovite synthesized crystal,N/A,Quartz (single crystal),Angel (1997),NaCl,,,,,,,,,,
5.037,298,Stishovite,Andrault (2003),Stishovite synthesized crystal,N/A,Quartz (single crystal),Angel (1997),NaCl,,,,,,,,,,
5.851,298,Stishovite,Andrault (2003),Stishovite synthesized crystal,N/A,Quartz (single crystal),Angel (1997),NaCl,,,,,,,,,,
6.613,298,Stishovite,Andrault (2003),Stishovite synthesized crystal,N/A,Quartz (single crystal),Angel (1997),NaCl,,,,,,,,,,
7.504,298,Stishovite,Andrault (2003),Stishovite synthesized crystal,N/A,Quartz (single crystal),Angel (1997),NaCl,,,,,,,,,,
8.264,298,Stishovite,Andrault (2003),Stishovite synthesized crystal,N/A,Quartz (single crystal),Angel (1997),NaCl,,,,,,,,,,
9.635,298,Stishovite,Andrault (2003),Stishovite synthesized crystal,N/A,Quartz (single crystal),Angel (1997),NaCl,,,,,,,,,,
11.69,298,Stishovite,Andrault (2003),silica glass,N/A,NaCl,Brown (1999) - B1 form,NaCl,"They synthesized stishovite in situ with IR lasers, so maybe stishovite is the starting material??",,,,,,,,,
17.67,298,Stishovite,Andrault (2003),silica glass,N/A,NaCl,Brown (1999) - B1 form,NaCl,Pt was also present as a secondary pressure scale,,,,,,,,,
22.38,298,Stishovite,Andrault (2003),silica glass,N/A,NaCl,Brown (1999) - B1 form; Sata (2002) - B2 form,NaCl,2 EoS applied to NaCl (B1 + B2),,,,,,,,,
29.38,298,Stishovite,Andrault (2003),silica glass,N/A,NaCl,Brown (1999) - B1 form; Sata (2002) - B2 form,NaCl,2 EoS applied to NaCl (B1 + B2),,,,,,,,,
37.71,298,Stishovite,Andrault (2003),silica glass,N/A,NaCl,Sata (2002) - B2 form,NaCl,,,,,,,,,,
46.03,298,Stishovite,Andrault (2003),silica glass,N/A,NaCl,Sata (2002) - B2 form,NaCl,,,,,,,,,,
52.73,298,Stishovite,Andrault (2003),silica glass,N/A,NaCl,Sata (2002) - B2 form,NaCl,,,,,,,,,,
26.32,298,Stishovite,Andrault (2003),silica glass,N/A,NaCl,Sata (2002) - B2 form,NaCl,,,,,,,,,,
