Pressure,Temperature,Phase,Author,Notes
124.2222222,1954.83871,B1,Ye (2017),
126.8888889,1922.580645,B1,Ye (2017),
127.3333333,1858.064516,B1,Ye (2017),
126.6666667,1729.032258,B1,Ye (2017),
129.7777778,1761.290323,B1,Ye (2017),
130,1851.612903,B1,Ye (2017),
123.1111111,1767.741935,B1,Ye (2017),
122.8888889,1729.032258,B1,Ye (2017),
121.5555556,1709.677419,B1,Ye (2017),
118.2222222,1587.096774,B1,Ye (2017),
113.7777778,1548.387097,B1,Ye (2017),
114.2222222,1664.516129,B1,Ye (2017),
112,1709.677419,B1,Ye (2017),
115.1111111,1741.935484,B1,Ye (2017),
112.4444444,1800,B1,Ye (2017),
113.1111111,1845.16129,B1,Ye (2017),
114,1909.677419,B1,Ye (2017),
114,1929.032258,B1,Ye (2017),
113.7777778,1967.741935,B1,Ye (2017),
114.4444444,2025.806452,B1,Ye (2017),
105.7777778,2187.096774,B1,Ye (2017),
105.3333333,2038.709677,B1,Ye (2017),
104.6666667,2000,B1,Ye (2017),
100.8888889,1883.870968,B1,Ye (2017),
101.1111111,1832.258065,B1,Ye (2017),
104.8888889,1832.258065,B1,Ye (2017),
104.2222222,1741.935484,B1,Ye (2017),
104.2222222,1709.677419,B1,Ye (2017),
100.8888889,1722.580645,B1,Ye (2017),
100.6666667,1664.516129,B1,Ye (2017),
100.4444444,1600,B1,Ye (2017),
80.22222222,300,B1,Ye (2017),
89.11111111,300,B1,Ye (2017),
94.88888889,300,B1,Ye (2017),
97.77777778,300,B1,Ye (2017),
108,300,B1,Ye (2017),
110.6666667,300,B1,Ye (2017),
112.8888889,300,B1,Ye (2017),
114.2222222,300,B1,Ye (2017),
116.2222222,300,B1,Ye (2017),
120.2222222,300,B1,Ye (2017),
128,300,B1,Ye (2017),
3.236,500,B1,Cebulla (2017),
19.951,500,B1,Cebulla (2017),
121.169,500,B1,Cebulla (2017),
243.681,500,B1,Cebulla (2017),
332.971,500,B1,Cebulla (2017),
457.495,500,B1,Cebulla (2017),
581.542,500,B2,Cebulla (2017),
732.333,500,B2,Cebulla (2017),
786.852,500,B2,Cebulla (2017),
6.754,1000,B1,Cebulla (2017),
23.88,1000,B1,Cebulla (2017),
124.57,1000,B1,Cebulla (2017),
247.325,1000,B1,Cebulla (2017),
462.744,1000,B1,Cebulla (2017),
587.263,1000,B2,Cebulla (2017),
738.3,1000,B2,Cebulla (2017),
792.939,1000,B2,Cebulla (2017),
12.921,2000,B1,Cebulla (2017),
29.895,2000,B1,Cebulla (2017),
132.005,2000,B1,Cebulla (2017),
254.618,2000,B1,Cebulla (2017),
486.412,2000,B2,Cebulla (2017),
598.645,2000,B2,Cebulla (2017),
750.028,2000,B2,Cebulla (2017),
805.145,2000,B2,Cebulla (2017),
0.524,3000,B1,Cebulla (2017),
19.019,3000,B1,Cebulla (2017),
36.305,3000,B1,Cebulla (2017),
137.475,3000,B1,Cebulla (2017),
262.006,3000,B1,Cebulla (2017),
350.417,3000,B1,Cebulla (2017),
398.89,3000,B1,Cebulla (2017),
497.834,3000,B2,Cebulla (2017),
610.159,3000,B2,Cebulla (2017),
761.461,3000,B2,Cebulla (2017),
816.956,3000,B2,Cebulla (2017),
24.829,4000,B1,Cebulla (2017),
42.79,4000,B1,Cebulla (2017),
87.9,4000,B1,Cebulla (2017),
144.534,4000,B1,Cebulla (2017),
268.254,4000,B1,Cebulla (2017),
406.857,4000,B1,Cebulla (2017),
508.86,4000,B2,Cebulla (2017),
621.382,4000,B2,Cebulla (2017),
773.395,4000,B2,Cebulla (2017),
828.585,4000,B2,Cebulla (2017),
22.432,5000,Liquid,Cebulla (2017),
30.956,5000,B1,Cebulla (2017),
48.451,5000,B1,Cebulla (2017),
95.02,5000,B1,Cebulla (2017),
150.708,5000,B1,Cebulla (2017),
206.228,5000,B1,Cebulla (2017),
275.818,5000,B1,Cebulla (2017),
321.313,5000,B1,Cebulla (2017),
364.94,5000,B1,Cebulla (2017),
414.744,5000,B1,Cebulla (2017),
519.694,5000,B2,Cebulla (2017),
632.655,5000,B2,Cebulla (2017),
785.7,5000,B2,Cebulla (2017),
840.721,5000,B2,Cebulla (2017),
1215.624,5000,B2,Cebulla (2017),
1587.492,5000,B2,Cebulla (2017),
37.631,6000,B1,Cebulla (2017),
54.911,6000,B1,Cebulla (2017),
101.037,6000,B1,Cebulla (2017),
157.875,6000,B1,Cebulla (2017),
213.434,6000,B1,Cebulla (2017),
283.326,6000,B1,Cebulla (2017),
327.574,6000,B1,Cebulla (2017),
372.979,6000,B1,Cebulla (2017),
429.477,6000,B2,Cebulla (2017),
530.583,6000,B2,Cebulla (2017),
643.98,6000,B2,Cebulla (2017),
797.408,6000,B2,Cebulla (2017),
852.734,6000,B2,Cebulla (2017),
58.216,7000,Liquid,Cebulla (2017),
107.552,7000,B1,Cebulla (2017),
334236,7000,B1,Cebulla (2017),
36.511,8000,Liquid,Cebulla (2017),
64.282,8000,Liquid,Cebulla (2017),
85.238,8000,Liquid,Cebulla (2017),
115.799,8000,B1,Cebulla (2017),
172.624,8000,B1,Cebulla (2017),
227.772,8000,B1,Cebulla (2017),
296.799,8000,B1,Cebulla (2017),
343.049,8000,B1,Cebulla (2017),
406.459,8000,B2,Cebulla (2017),
450.325,8000,B2,Cebulla (2017),
502.238,8000,B2,Cebulla (2017),
551.673,8000,B2,Cebulla (2017),
666.869,8000,B2,Cebulla (2017),
820.566,8000,B2,Cebulla (2017),
876318,8000,B2,Cebulla (2017),
181.055,9000,B1,Cebulla (2017),
236.132,9000,B1,Cebulla (2017),
304.75,9000,B1,Cebulla (2017),
371.954,9000,B2,Cebulla (2017),
417.921,9000,B2,Cebulla (2017),
460.902,9000,B2,Cebulla (2017),
76.097,10000,Liquid,Cebulla (2017),
98.86,10000,Liquid,Cebulla (2017),
152.712,10000,Liquid,Cebulla (2017),
214.429,10000,Liquid,Cebulla (2017),
243.645,10000,B1,Cebulla (2017),
314.087,10000,B1,Cebulla (2017),
382.385,10000,B2,Cebulla (2017),
428.58,10000,B2,Cebulla (2017),
471.407,10000,B2,Cebulla (2017),
